ActiveIngredientFromProductName	ActiveIngredientFromProductNameId
abacavir sulfate	1
abacavir sulfate and lamivudine	2
abatacept	3
abemaciclib	4
abiraterone acetate	5
acamprosate calcium	6
acarbose	7
acebutolol hydrochloride	8
acemetacin	9
acetazolamide	10
acetohexamide	11
acetylcholine chloride	12
acetylcysteine	13
acetylsalicylic acid and lansoprazole	14
achromycin v	15
aciclovir	16
aclarubicin hydrochloride	17
aclidinium bromide	18
adalimumab	19
adapalene	20
adefovir dipivoxil	21
adenine	22
adenosine	23
adrenaline	24
afatinib dimaleate	25
aflibercept	26
agalsidase alfa	27
agalsidase beta	28
albendazole	29
albuterol sulfate	30
albutrepenonacog alfa	31
alclometasone dipropionate	32
aldioxa	33
alectinib hydrochloride	34
alemtuzumab	35
alendronate	36
alendronate sodium	37
alendronic acid	38
alfacalcidol	39
alfacalidol	40
alglucosidase alfa	41
alirocumab	42
allium sativum	43
allopurinol	44
allylestrenol	45
alogliptin benzoate	46
alogliptin benzoate and metformin hydrochloride	47
alogliptin benzoate and pioglitazone hydrochloride	48
alprazolam	49
alprostadil	50
alteplase	51
aluminium hydroxide	52
aluminum hydroxide and magnesium hydroxide	53
amantadine	54
amantadine hydrochloride	55
ambenonium chloride	56
ambrisentan	57
ambroxol	58
ambroxol hydrochloride	59
amenamevir	60
amezinium	61
amezinium metilsulfate	62
amikacin	63
aminolevulinic acid hydrochloride	64
amiodarone hydrochloride	65
amitriptyline	66
amitriptyline hydrochloride	67
amlexanox	68
amlodipine	69
amlodipine besylate	70
amobarbital	71
amoxapine	72
amoxicillin	73
amoxicilline	74
amphotericin b	75
ampicillin	76
ampicillin hydrate	77
ampicillin sodium and sulbactam sodium	78
amrinone	79
amrubicin hydrochloride	80
anagliptin	81
anagliptin and metformin hydrochloride	82
anastrozole	83
anethol trithion	84
anti-human thymocyte immunoglobulin, rabbit	85
antithrombin gamma	86
antithrombin iii	87
apalutamide	88
apixaban	89
apomorphine hydrochloride	90
apraclonidine hydrochloride	91
apremilast	92
aprepitant	93
aprindine hydrochloride	94
aprotinin	95
aranidipine	96
arbekacin	97
arbekacin sulfate	98
aredia	99
argatroban	100
arginine hydrochloride	101
aripiprazole	102
arsenic trioxide	103
ascorbic acid	104
ascorbic acid and calcium pantothenate	105
asenapine maleate	106
asfotase alfa	107
asparaginase	108
asparagine	109
aspirin	110
aspirin and dialuminate	111
aspirin and vonoprazan	112
asunaprevir	113
atazanavir sulfate	114
atenolol	115
atezolizumab	116
atomoxetine	117
atomoxetine hydrochloride	118
atorvastatin	119
atorvastatin calcium	120
atovaquone	121
atovaquone and proguanil hydrochloride	122
atropine	123
auranofin	124
avelumab	125
axitinib	126
azacitidine	127
azathioprine	128
azelastine	129
azelastine hydrochloride	130
azelnidipine	131
azilsartan	132
azilsartan and amlodipine besilate	133
azosemide	134
aztreonam	135
bacampicillin hydrochloride	136
baclofen	137
baloxavir marboxil	138
baricitinib	139
barnidipine hydrochloride	140
basiliximab	141
batroxobin	142
bazedoxifene acetate	143
bcg vaccine	144
beclavir	145
beclometasone	146
beclomethasone dipropionate	147
bedaquiline fumarate	148
belimumab	149
benazepril hydrochloride	150
bendamustine hydrochloride	151
benidipine hydrochloride	152
benproperine phosphate	153
benralizumab	154
benserazide	155
bentiromide	156
benzalkonium chloride	157
benzbromarone	158
benzocaine	159
benzoyl peroxide	160
benzylhydrochlorothiazide	161
benzylpenicillin	162
bepridil hydrochloride	163
beraprost	164
beraprost sodium	165
beta-galactosidase	166
betaine	167
betamethasone	168
betamethasone and d-chlorpheniramine maleate	169
betamethasone dipropionate	170
betamethasone sodium phosphate	171
betaxolol hydrochloride	172
bethanechol chloride	173
bevacizumab	174
bevantolol hydrochloride	175
bexarotene	176
bezafibrate	177
bezlotoxumab	178
biapenem	179
bicalutamide	180
bifonazole	181
bilastine	182
bimatoprost	183
binimetinib	184
biotin	185
biperiden	186
biperiden hydrochloride	187
bisacodyl	188
bisoprolol	189
bisoprolol fumarate	190
bixalomer	191
bleomycin hydrochloride	192
bleomycin sulfate	193
blinatumomab	194
blonanserin	195
bortezomib	196
bosentan	197
botulinum toxin type a	198
brentuximab vedotin	199
brexpiprazole	200
brimonidine tartrate	201
brinzolamide	202
brinzolamide and timolol maleate	203
brodalumab	204
brolucizumab	205
bromazepam	206
bromelain and tocopherol acetate	207
bromfenac sodium	208
bromhexine	209
bromhexine hydrochloride	210
bromisoval	211
bromocriptine	212
bromocriptine mesylate	213
bromperidol	214
brotizolam	215
bucillamine	216
budesonide	217
budesonide, glycopyrronium bromide and formoterol fumarate	218
bufexamac	219
buformin	220
buformin hydrochloride	221
bunazosin hydrochloride	222
bupivacaine	223
bupivacaine hydrochloride	224
buprenorphine	225
buprenorphine hydrochloride	226
burosumab	227
buserelin	228
buserelin acetate	229
busulfan	230
butorphanol	231
butropium	232
butropium bromide	233
cabazitaxel acetonate	234
cabergoline	235
cafergot	236
caffeine	237
caffeine and sodium benzoate	238
calcipotriene	239
calcipotriene and betamethasone dipropionate	240
calcitriol	241
calcium	242
calcium carbonate	243
calcium l-aspartate hydrate	244
calcium phosphate	245
calcium polycarbophil	246
camostat	247
camostat mesilate	248
canagliflozin	249
canakinumab	250
candesartan	251
candesartan cilexetil	252
candesartan cilexetil and anmlodipine besylate	253
capecitabine	254
captopril	255
carbamazepin	256
carbamazepine	257
carbazochrome, phytonadione and ascorbic acid	258
carbidopa hydrate and levodopa	259
carbidopa, levodopa and entacapone	260
carbocisteine	261
carboplatin	262
carboquone	263
carfilzomib	264
carglumic acid	265
carmofur	266
carmustine	267
carnitine	268
carteolol	269
carteolol and latanoprost	270
carteolol hydrochloride	271
carvedilol	272
caspofungin acetate	273
cefaclor	274
cefadroxil	275
cefalexin	276
cefazolin	277
cefazolin sodium	278
cefazolin sodium hydrate	279
cefdinir	280
cefditoren	281
cefepime hydrochloride	282
cefixime	283
cefmenoxime	284
cefmenoxime hydrochloride	285
cefmetazole	286
cefmetazole sodium	287
cefminox sodium hydrate	288
cefodizim	289
cefodizime	290
cefoperazone	291
cefoperazone sodium and sulbactam sodium	292
cefotaxime sodium	293
cefotetan	294
cefotiam	295
cefotiam hydrochloride	296
cefozopran	297
cefozopran hydrochloride	298
cefpiramide	299
cefpirome	300
cefpodoxime	301
cefpodoxime proxetil	302
ceftazidime	303
ceftizoxime sodium	304
ceftolozane sulfate and tazobactam sodium	305
ceftriaxone	306
ceftriaxone sodium	307
cefuroxime axetil	308
celecoxib	309
celiprolol hydrochloride	310
cephalexin	311
ceritinib	312
cerliponase alfa	313
certolizumab pegol	314
cetirizine	315
cetirizine hydrochloride	316
cetrorelix acetate	317
cetuximab	318
cevimeline hydrochloride	319
chlophedianol hydrochloride	320
chloral hydrate	321
chloramphenicol	322
chloramphenicol, fradiomycin sulfate and prednisolone	323
chlordiazepoxide	324
chlorhexidine	325
chlorhexidine gluconate	326
chlorhexidine gluconate and alcohol	327
chlormadinone	328
chlormadinone acetate	329
chlorphenamine	330
chlorphenesin	331
chlorphenesin carbamate	332
chlorpheniramine	333
chlorpheniramine maleate	334
chlorpromazine	335
chlorpromazine hydrochloride	336
chlorpromazine phenolphthalinate	337
cholecalciferol	338
chondroitin sulfate	339
chondroitin sulfate sodium and sodium salicylate	340
choriogonadotropin alfa	341
ciclesonide	342
ciclosporin	343
cilastatin	344
cilazapril	345
cilnidipine	346
cilostazol	347
cilostazole	348
cimetidine	349
cimetidine  magnesium aluminium silicilate  aldioxa	350
cinacalcet hydrochloride	351
cinnamomum cassia	352
cinoxacin	353
ciprofloxacin	354
cisplatin	355
citicoline	356
citrus unshiu	357
cladribine	358
clarithromycin	359
clemastine	360
clemastine fumarate	361
clenbuterol	362
clenbuterol hydrochloride	363
clindamycin	364
clindamycin phosphate	365
clindamycin phosphate and benzoyl peroxide	366
clinofibrate	367
clobazam	368
clobetasol	369
clobetasol propionate	370
clobetasone butyrate	371
clofarabine	372
clofazimine	373
clomiphene	374
clomiphene citrate	375
clomipramine hydrochloride	376
clonazepam	377
clonidine hydrochloride	378
cloperastine	379
clopidogrel	380
clopidogrel bisulfate	381
clorazepate dipotassium	382
clormadinone	383
clotiazepam	384
clotrimazole	385
cloxacillin	386
cloxazolam	387
clozapine	388
cobamine	389
codeine	390
coix	391
colestilan	392
colestyramine	393
colistimethate sodium	394
colistin	395
collagenase clostridium histolyticum	396
condoliase	397
contrast agents	398
corticorelin	399
cortisone acetate	400
crizotinib	401
cromoglicate sodium	402
cromolyn sodium	403
crotamiton	404
curcuma zedoaria	405
cyanamide	406
cyanocobalamin	407
cyclofenil	408
cyclopentolate hydrochloride	409
cyclophosphamide	410
cyclosporine	411
cyproheptadine hydrochloride	412
cysteine	413
cytarabine	414
dabrafenib mesylate	415
dacarbazine	416
daclatasvir	417
dacomitinib	418
dactinomycin	419
dalfopristin	420
dalteparin	421
dalteparin sodium	422
damoctocog alfa pegol	423
danaparoid sodium	424
danazol	425
danazole	426
dantrolene sodium	427
daprodustat	428
dapsone	429
daptomycin	430
daratumumab	431
darbepoetin alfa	432
darolutamide	433
darunavir	434
darunavir and cobicistat	435
darunavir ethanolate	436
darunavir, cobicistat, emtricitabine and tenofovir alafenamide	437
dasatinib	438
daunorubicin hydrochloride	439
deferasirox	440
deferoxamine mesylate	441
defibrotide sodium	442
delamanid	443
delapril hydrochloride	444
delgocitinib	445
demeclocycline hydrochloride	446
denosumab	447
dequalinium	448
desflurane	449
deslanoside	450
desloratadine	451
desmopressin	452
desogestrel	453
dexamethasone	454
dexamethasone sodium phosphate	455
dexchlorpheniramine maleate	456
dexmedetomidin	457
dexmedetomidine	458
dexpanthenol	459
dexrazoxane	460
dextromethorphan	461
dextromethorphan hydrobromide	462
dextrometorphan	463
diastase	464
diazepam	465
diazoxide	466
dibekacin	467
dibekacin sulfate	468
dibucaine	469
diclofenac	470
diclofenac sodium	471
dicyclomine hydrochloride, aluminium hydroxide, dried and magnesium oxide	472
dienogest	473
diflorasone	474
diflorasone diacetate	475
difluprednate	476
digoxin	477
dihydrocodeine	478
dihydroergotamine	479
diltiazem	480
diltiazem hydrochloride	481
dimethyl fumarate	482
dimeticone	483
dinoprost	484
dinoprostone	485
diphenhydraminde	486
diphenhydramine	487
diphenhydramine hydrochloride and diprophylline	488
diphenhydramine salicylate, hydrocortisone acetate, benzalkonium chloride and chlorhexidine hydrochloride	489
diphenidol hydrochloride	490
dipivefrin hydrochloride	491
diprophylline	492
diprophylline, methoxyphenamine hydrochloride, noscapine and chlorpheniramine maleate	493
dipyridamole	494
diquafosol tetrasodium	495
disopyramide	496
distigmine	497
distigmine bromide	498
disulfiram	499
dl-methylephedrine hydrochloride	500
dl-methylephedrine hydrochloride, dihydrocodeine phosphate, diprophylline, diphenhydramine salicylate, acetaminophen and bromovalerylurea	501
dobutaminde	502
dobutamine	503
dobutamine hydrochloride	504
