AdverseEventPreferredTerm	AdverseEventPreferredTermId
17-hydroxyprogesterone increased	1
5q minus syndrome	2
ACTH stimulation test abnormal	3
ACTH-producing pituitary tumour	4
Abdominal abscess	5
Abdominal adhesions	6
Abdominal compartment syndrome	7
Abdominal discomfort	8
Abdominal distension	9
Abdominal hernia	10
Abdominal hernia obstructive	11
Abdominal infection	12
Abdominal lymphadenopathy	13
Abdominal mass	14
Abdominal neoplasm	15
Abdominal operation	16
Abdominal pain	17
Abdominal pain lower	18
Abdominal pain upper	19
Abdominal rigidity	20
Abdominal symptom	21
Abdominal tenderness	22
Abdominal wall abscess	23
Abdominal wall anomaly	24
Abdominal wall haematoma	25
Abdominal wall haemorrhage	26
Abdominal wall infection	27
Abdominal wall mass	28
Abdominal wall wound	29
Abdominal wound dehiscence	30
Abnormal behaviour	31
Abnormal clotting factor	32
Abnormal dreams	33
Abnormal labour	34
Abnormal loss of weight	35
Abnormal palmar/plantar creases	36
Abnormal sensation in eye	37
Abnormal sleep-related event	38
Abnormal uterine bleeding	39
Abnormal weight gain	40
Abnormal withdrawal bleeding	41
Abortion	42
Abortion complete	43
Abortion early	44
Abortion incomplete	45
Abortion induced	46
Abortion infected	47
Abortion missed	48
Abortion of ectopic pregnancy	49
Abortion spontaneous	50
Abortion spontaneous complete	51
Abortion threatened	52
Abscess	53
Abscess bacterial	54
Abscess fungal	55
Abscess intestinal	56
Abscess jaw	57
Abscess limb	58
Abscess neck	59
Abscess of eyelid	60
Abscess of salivary gland	61
Abscess oral	62
Abscess rupture	63
Abscess sterile	64
Absorbable device issue	65
Abulia	66
Acalculia	67
Acanthamoeba keratitis	68
Acanthosis	69
Acanthosis nigricans	70
Acarodermatitis	71
Accelerated hypertension	72
Accelerated idioventricular rhythm	73
Accessory auricle	74
Accessory liver lobe	75
Accessory nerve disorder	76
Accident	77
Accident at work	78
Accidental death	79
Accidental exposure to product	80
Accidental exposure to product by child	81
Accidental exposure to product packaging	82
Accidental overdose	83
Accommodation disorder	84
Acetabulum fracture	85
Acetonaemia	86
Acetonaemic vomiting	87
Acid base balance abnormal	88
Acid fast bacilli infection	89
Acidosis	90
Acidosis hyperchloraemic	91
Acinetobacter bacteraemia	92
Acinetobacter infection	93
Acne	94
Acne infantile	95
Acne pustular	96
Acoustic neuroma	97
Acquired Von Willebrand's disease	98
Acquired amegakaryocytic thrombocytopenia	99
Acquired aminoaciduria	100
Acquired cerebral palsy	101
Acquired diaphragmatic eventration	102
Acquired epidermolysis bullosa	103
Acquired epileptic aphasia	104
Acquired factor VIII deficiency	105
Acquired foramen magnum stenosis	106
Acquired gene mutation	107
Acquired haemophilia	108
Acquired hydrocele	109
Acquired immunodeficiency syndrome	110
Acquired perforating dermatosis	111
Acquired pigmented retinopathy	112
Acquired porphyria	113
Acquired protein S deficiency	114
Acquired tracheo-oesophageal fistula	115
Acral lentiginous melanoma	116
Acromegaly	117
Actinic cheilitis	118
Actinic keratosis	119
Actinomycosis	120
Actinomycotic abdominal infection	121
Actinomycotic pulmonary infection	122
Actinomycotic sepsis	123
Activated partial thromboplastin time abnormal	124
Activated partial thromboplastin time prolonged	125
Activation syndrome	126
Acute abdomen	127
Acute biphenotypic leukaemia	128
Acute coronary syndrome	129
Acute cutaneous lupus erythematosus	130
Acute disseminated encephalomyelitis	131
Acute encephalitis with refractory	132
Acute erythroid leukaemia	133
Acute febrile neutrophilic dermatosis	134
Acute generalised exanthematous pustulosis	135
Acute graft versus host disease	136
Acute graft versus host disease in intestine	137
Acute graft versus host disease in liver	138
Acute graft versus host disease in skin	139
Acute haemorrhagic leukoencephalitis	140
Acute hepatic failure	141
Acute hepatitis B	142
Acute hepatitis C	143
Acute interstitial pneumonitis	144
Acute kidney injury	145
Acute leukaemia	146
Acute lung injury	147
Acute lymphocytic leukaemia	148
Acute lymphocytic leukaemia recurrent	149
Acute lymphocytic leukaemia refractory	150
Acute megakaryocytic leukaemia	151
Acute monocytic leukaemia	152
Acute myeloid leukaemia	153
Acute myeloid leukaemia recurrent	154
Acute myelomonocytic leukaemia	155
Acute myocardial infarction	156
Acute on chronic liver failure	157
Acute painful neuropathy of rapid glycaemic control	158
Acute phase reaction	159
Acute polyneuropathy	160
Acute postoperative sialadenitis	161
Acute promyelocytic leukaemia	162
Acute psychosis	163
Acute pulmonary oedema	164
Acute respiratory distress syndrome	165
Acute respiratory failure	166
Acute sinusitis	167
Acute undifferentiated leukaemia	168
Adactyly	169
Adams-Stokes syndrome	170
Addison's disease	171
Adenocarcinoma	172
Adenocarcinoma gastric	173
Adenocarcinoma of colon	174
Adenocarcinoma of the cervix	175
Adenocarcinoma pancreas	176
Adenoid cystic carcinoma	177
Adenoidal disorder	178
Adenoidal hypertrophy	179
Adenoma benign	180
Adenomatous polyposis coli	181
Adenomyosis	182
Adenosine deaminase increased	183
Adenosquamous cell carcinoma	184
Adenosquamous cell lung cancer	185
Adenoviral conjunctivitis	186
Adenoviral haemorrhagic cystitis	187
Adenoviral hepatitis	188
Adenovirus infection	189
Adenovirus test positive	190
Adhesion	191
Adjacent segment degeneration	192
Adjusted calcium decreased	193
Adjustment disorder	194
Adjustment disorder with depressed mood	195
Administration related reaction	196
Administration site abscess	197
Administration site discolouration	198
Administration site extravasation	199
Administration site hypoaesthesia	200
Administration site induration	201
Administration site infection	202
Administration site mass	203
Administration site necrosis	204
Administration site pain	205
Administration site papule	206
Administration site reaction	207
Administration site swelling	208
Administration site ulcer	209
Administration site vasculitis	210
Administration site warmth	211
Adnexal torsion	212
Adrenal adenoma	213
Adrenal atrophy	214
Adrenal disorder	215
Adrenal gland cancer	216
Adrenal gland cancer metastatic	217
Adrenal gland injury	218
Adrenal gland tuberculosis	219
Adrenal haematoma	220
Adrenal haemorrhage	221
Adrenal insufficiency	222
Adrenal insufficiency neonatal	223
Adrenal mass	224
Adrenal neoplasm	225
Adrenal suppression	226
Adrenalitis	227
Adrenocortical carcinoma	228
Adrenocortical insufficiency acute	229
Adrenocortical insufficiency neonatal	230
Adrenocorticotropic hormone deficiency	231
Adrenomegaly	232
Adult T-cell lymphoma/leukaemia	233
Adult T-cell lymphoma/leukaemia recurrent	234
Adult T-cell lymphoma/leukaemia refractory	235
Adverse drug reaction	236
Adverse event	237
Adverse reaction	238
Aeromonas infection	239
Aerophagia	240
Aesthesioneuroblastoma	241
Affect lability	242
Affective disorder	243
Afferent loop syndrome	244
Age-related macular degeneration	245
Ageusia	246
Aggression	247
Agitated depression	248
Agitation	249
Agitation neonatal	250
Agitation postoperative	251
Agnosia	252
Agranulocytosis	253
Agraphia	254
Air embolism	255
Airway complication of anaesthesia	256
Airway peak pressure increased	257
Akathisia	258
Akinaesthesia	259
Akinesia	260
Alanine aminotransferase abnormal	261
Alanine aminotransferase decreased	262
