Disease	DiseaseId
21-hydroxylase deficiency	1
5q minus syndrome	2
ABO incompatibility	3
AIDS related complex	4
ALK gene rearrangement positive	5
Abdominal abscess	6
Abdominal adhesions	7
Abdominal cavity drainage	8
Abdominal compartment syndrome	9
Abdominal discomfort	10
Abdominal distension	11
Abdominal hernia	12
Abdominal infection	13
Abdominal injury	14
Abdominal lymphadenopathy	15
Abdominal mass	16
Abdominal neoplasm	17
Abdominal operation	18
Abdominal pain	19
Abdominal pain lower	20
Abdominal pain upper	21
Abdominal symptom	22
Abdominal tenderness	23
Abdominal wall abscess	24
Abdominal wall haematoma	25
Abdominal wall mass	26
Abdominal wall neoplasm	27
Abdominal wound dehiscence	28
Abnormal behaviour	29
Abnormal clotting factor	30
Abnormal faeces	31
Abnormal loss of weight	32
Abnormal organ growth	33
Abnormal precordial movement	34
Abnormal sensation in eye	35
Abnormal uterine bleeding	36
Abnormal weight gain	37
Abortion	38
Abortion early	39
Abortion incomplete	40
Abortion induced	41
Abortion missed	42
Abortion spontaneous	43
Abortion threatened	44
Abscess	45
Abscess bacterial	46
Abscess drainage	47
Abscess fungal	48
Abscess intestinal	49
Abscess jaw	50
Abscess limb	51
Abscess management	52
Abscess neck	53
Abscess of salivary gland	54
Abscess soft tissue	55
Abstains from alcohol	56
Abstains from recreational drugs	57
Abulia	58
Acalculia	59
Acanthamoeba keratitis	60
Acanthoma	61
Acanthosis nigricans	62
Acarodermatitis	63
Accelerated idioventricular rhythm	64
Accessory auricle	65
Accessory cardiac pathway	66
Accessory spleen	67
Accident	68
Accidental exposure to product	69
Accommodation disorder	70
Acetabulum fracture	71
Achlorhydria	72
Acid fast bacilli infection	73
Acidosis	74
Acidosis hyperchloraemic	75
Acinar cell carcinoma of pancreas	76
Acinetobacter infection	77
Acne	78
Acne pustular	79
Acoustic neuroma	80
Acquired Von Willebrand's disease	81
Acquired amegakaryocytic thrombocytopenia	82
Acquired cardiac septal defect	83
Acquired cystic kidney disease	84
Acquired epidermolysis bullosa	85
Acquired haemophilia	86
Acquired immunodeficiency syndrome	87
Acquired porphyria	88
Acral lentiginous melanoma	89
Acral lentiginous melanoma stage II	90
Acral lentiginous melanoma stage III	91
Acrocephalosyndactyly	92
Acrodermatitis chronica atrophicans	93
Acrodynia	94
Acromegaly	95
Actinic keratosis	96
Actinomycosis	97
Actinomycotic pulmonary infection	98
Activated PI3 kinase delta syndrome	99
Activated partial thromboplastin time	100
Activated partial thromboplastin time prolonged	101
Activated partial thromboplastin time shortened	102
Acupressure	103
Acupuncture	104
Acute HIV infection	105
Acute abdomen	106
Acute biphenotypic leukaemia	107
Acute coronary syndrome	108
Acute disseminated encephalomyelitis	109
Acute encephalitis with refractory, repetitive partial seizures	110
Acute erythroid leukaemia	111
Acute febrile neutrophilic dermatosis	112
Acute generalised exanthematous pustulosis	113
Acute graft versus host disease	114
Acute graft versus host disease in intestine	115
Acute graft versus host disease in liver	116
Acute graft versus host disease in skin	117
Acute hepatic failure	118
Acute hepatitis B	119
Acute hepatitis C	120
Acute kidney injury	121
Acute leukaemia	122
Acute lung injury	123
Acute lymphocytic leukaemia	124
Acute lymphocytic leukaemia (in remission)	125
Acute lymphocytic leukaemia recurrent	126
Acute lymphocytic leukaemia refractory	127
Acute megakaryocytic leukaemia	128
Acute monocytic leukaemia	129
Acute myeloid leukaemia	130
Acute myeloid leukaemia (in remission)	131
Acute myeloid leukaemia recurrent	132
Acute myeloid leukaemia refractory	133
Acute myelomonocytic leukaemia	134
Acute myocardial infarction	135
Acute promyelocytic leukaemia	136
Acute psychosis	137
Acute pulmonary histoplasmosis	138
Acute pulmonary oedema	139
Acute respiratory distress syndrome	140
Acute respiratory failure	141
Acute sinusitis	142
Acute stress disorder	143
Adams-Stokes syndrome	144
Addison's disease	145
Adenocarcinoma	146
Adenocarcinoma gastric	147
Adenocarcinoma of colon	148
Adenocarcinoma of the cervix	149
Adenocarcinoma pancreas	150
Adenoid cystic carcinoma	151
Adenoidal hypertrophy	152
Adenoidectomy	153
Adenoma benign	154
Adenomatous polyposis coli	155
Adenomyosis	156
Adenosine deaminase increased	157
Adenosquamous carcinoma of the cervix	158
Adenosquamous cell carcinoma	159
Adenosquamous cell lung cancer	160
Adenosquamous cell lung cancer recurrent	161
Adenosquamous cell lung cancer stage III	162
Adenosquamous cell lung cancer stage IV	163
Adenotonsillectomy	164
Adenoviral conjunctivitis	165
Adenoviral haemorrhagic cystitis	166
Adenovirus infection	167
Adhesiolysis	168
Adhesion	169
Adjustment disorder	170
Adjustment disorder with anxiety	171
Adjustment disorder with depressed mood	172
Adjuvant therapy	173
Adnexa uteri mass	174
Adnexal torsion	175
Adrenal adenoma	176
Adrenal calcification	177
Adrenal disorder	178
Adrenal gland abscess	179
Adrenal gland cancer	180
Adrenal gland cancer metastatic	181
Adrenal gland tuberculosis	182
Adrenal insufficiency	183
Adrenal mass	184
Adrenal neoplasm	185
Adrenalectomy	186
Adrenalitis	187
Adrenocortical carcinoma	188
Adrenocortical insufficiency acute	189
Adrenocortical steroid therapy	190
Adrenocorticotropic hormone deficiency	191
Adrenogenital syndrome	192
Adrenoleukodystrophy	193
Adrenomegaly	194
Adult T-cell lymphoma/leukaemia	195
Adult T-cell lymphoma/leukaemia recurrent	196
Adult T-cell lymphoma/leukaemia refractory	197
Adult T-cell lymphoma/leukaemia stage I	198
Adult T-cell lymphoma/leukaemia stage IV	199
Adverse drug reaction	200
Adverse event	201
Aeromonas infection	202
Aerophagia	203
Aesthesioneuroblastoma	204
Affect lability	205
Affective disorder	206
Afferent loop syndrome	207
Afterbirth pain	208
Age-related macular degeneration	209
Aggression	210
Agitated depression	211
Agitation	212
Agitation postoperative	213
Agnosia	214
Agranulocytosis	215
Agraphia	216
Aicardi's syndrome	217
Airway burns	218
Airway secretion clearance therapy	219
Akathisia	220
Akinesia	221
Alagille syndrome	222
Alanine aminotransferase	223
Alanine aminotransferase abnormal	224
Alanine aminotransferase decreased	225
Alanine aminotransferase increased	226
Albinism	227
Albright's disease	228
Albuminuria	229
Alcohol abuse	230
Alcohol induced persisting dementia	231
