Table name	Column Name	Coded Value	Description
REAC	Outcome	1	Death
REAC	Outcome	2	Light
REAC	Outcome	3	Recovery
REAC	Outcome	4	Unknown
REAC	Outcome	5	Unrecovered
REAC	Outcome	6	With sequelae
DRUG	Involvement	1	Concomitant medication
DRUG	Involvement	2	Interaction
DRUG	Involvement	3	Suspected drug
DRUG	RouteOfAdministration	1	Auricle
DRUG	RouteOfAdministration	2	Buccal
DRUG	RouteOfAdministration	3	Cerebral
DRUG	RouteOfAdministration	4	Epidural
DRUG	RouteOfAdministration	5	Eye
DRUG	RouteOfAdministration	6	Eye(Canalicular anesthesia)
DRUG	RouteOfAdministration	7	Eye(Infratrochlear nerve block)
DRUG	RouteOfAdministration	8	Gastric
DRUG	RouteOfAdministration	9	Haemodialysis
DRUG	RouteOfAdministration	10	Haemodialysis(administered into the circulation during extracorporeal blood circulation)
DRUG	RouteOfAdministration	11	Haemodialysis(injection line)
DRUG	RouteOfAdministration	12	Hepatic
DRUG	RouteOfAdministration	13	Hepatic artery
DRUG	RouteOfAdministration	14	In the lymph gland
DRUG	RouteOfAdministration	15	Inhalational
DRUG	RouteOfAdministration	16	Injection
DRUG	RouteOfAdministration	17	Inside the cavity
DRUG	RouteOfAdministration	18	Inside the corpus cavernosum
DRUG	RouteOfAdministration	19	Internal medicine
DRUG	RouteOfAdministration	20	Intestinal
DRUG	RouteOfAdministration	21	Intra-amniotic
DRUG	RouteOfAdministration	22	Intra-arterial
DRUG	RouteOfAdministration	23	Intra-articular
DRUG	RouteOfAdministration	24	Intracardiac
DRUG	RouteOfAdministration	25	Intracervical
DRUG	RouteOfAdministration	26	Intracorneal
DRUG	RouteOfAdministration	27	Intracoronary
DRUG	RouteOfAdministration	28	Intradermal
DRUG	RouteOfAdministration	29	Intramedullary
DRUG	RouteOfAdministration	30	Intrameningeal
DRUG	RouteOfAdministration	31	Intramuscular
DRUG	RouteOfAdministration	32	Intraocular
DRUG	RouteOfAdministration	33	Intraocular(Eye drops)
DRUG	RouteOfAdministration	34	Intrapericardial
DRUG	RouteOfAdministration	35	Intraperitoneal
DRUG	RouteOfAdministration	36	Intrapleural
DRUG	RouteOfAdministration	37	Intraspinal
DRUG	RouteOfAdministration	38	Intrasynovial
DRUG	RouteOfAdministration	39	Intrathecal
DRUG	RouteOfAdministration	40	Intrathoracic
DRUG	RouteOfAdministration	41	Intratracheal
DRUG	RouteOfAdministration	42	Intratumoral
DRUG	RouteOfAdministration	43	Intrauterine
DRUG	RouteOfAdministration	44	Intravenous
DRUG	RouteOfAdministration	45	Intravenous drip
DRUG	RouteOfAdministration	46	Intravenous drip(Subcutaneous)
DRUG	RouteOfAdministration	47	Intravenous drip(central vein)
DRUG	RouteOfAdministration	48	Intravenous drip(dialysis circuit)
DRUG	RouteOfAdministration	49	Intravenous drip(peripheral)
DRUG	RouteOfAdministration	50	Intravenous injection
DRUG	RouteOfAdministration	51	Intravenous rapid
DRUG	RouteOfAdministration	52	Intravenous(right coronary artery)
DRUG	RouteOfAdministration	53	Intraventricular
DRUG	RouteOfAdministration	54	Intravesical
DRUG	RouteOfAdministration	55	Intravitreal
DRUG	RouteOfAdministration	56	Iontophoresis
DRUG	RouteOfAdministration	57	Laryngopharyngeal
DRUG	RouteOfAdministration	58	Local
DRUG	RouteOfAdministration	59	Local(Injection)
DRUG	RouteOfAdministration	60	Local(Local injection in the operative field)
DRUG	RouteOfAdministration	61	Nasal
DRUG	RouteOfAdministration	62	Nasogastric
DRUG	RouteOfAdministration	63	Neck
DRUG	RouteOfAdministration	64	Occlusive bandage method
DRUG	RouteOfAdministration	65	Oral
DRUG	RouteOfAdministration	66	Oral(Intravenous drip)
DRUG	RouteOfAdministration	67	Oropharynx
DRUG	RouteOfAdministration	68	Others(disinfection)
DRUG	RouteOfAdministration	69	Others(enteral nutrition)
DRUG	RouteOfAdministration	70	Others(external)
DRUG	RouteOfAdministration	71	Others(gastric fistula)
DRUG	RouteOfAdministration	72	Others(gastric tube)
DRUG	RouteOfAdministration	73	Others(gastrointestinal tube)
DRUG	RouteOfAdministration	74	Others(glottis)
DRUG	RouteOfAdministration	75	Others(infiltration anaesthesia)
DRUG	RouteOfAdministration	76	Others(inhalational)
DRUG	RouteOfAdministration	77	Others(injection)
DRUG	RouteOfAdministration	78	Others(intestinal)
DRUG	RouteOfAdministration	79	Others(intracranial)
DRUG	RouteOfAdministration	80	Others(intraperitoneal)
DRUG	RouteOfAdministration	81	Others(intrasinus)
DRUG	RouteOfAdministration	82	Others(intrathecal)
DRUG	RouteOfAdministration	83	Others(intravitreal)
DRUG	RouteOfAdministration	84	Others(iv-pca)
DRUG	RouteOfAdministration	85	Others(l3/spinal anesthesia from 4)
DRUG	RouteOfAdministration	86	Others(laryngopharyngeal)
DRUG	RouteOfAdministration	87	Others(local anaesthesia)
DRUG	RouteOfAdministration	88	Others(local injection)
DRUG	RouteOfAdministration	89	Others(local)
DRUG	RouteOfAdministration	90	Others(nasal catheter)
DRUG	RouteOfAdministration	91	Others(nasally/gastric fistula)
DRUG	RouteOfAdministration	92	Others(nasally/gastrostomy)
DRUG	RouteOfAdministration	93	Others(nasogastric tube)
DRUG	RouteOfAdministration	94	Others(nasotracheal tube)
DRUG	RouteOfAdministration	95	Others(peripheral intravenous drip)
DRUG	RouteOfAdministration	96	Others(peripheral main route)
DRUG	RouteOfAdministration	97	Others(retrobulbar)
DRUG	RouteOfAdministration	98	Others(root filling)
DRUG	RouteOfAdministration	99	Others(stomach)
DRUG	RouteOfAdministration	100	Others(subarachnoidal)
DRUG	RouteOfAdministration	101	Others(subtenon capsule)
DRUG	RouteOfAdministration	102	Others(systemic topical(including whole body application))
DRUG	RouteOfAdministration	103	Others(tendon)
DRUG	RouteOfAdministration	104	Others(transdermal)
DRUG	RouteOfAdministration	105	Others(transtracheal)
DRUG	RouteOfAdministration	106	Others(transtympanic)
DRUG	RouteOfAdministration	107	Others(unknown)
DRUG	RouteOfAdministration	108	Parenteral
DRUG	RouteOfAdministration	109	Parenteral(Gastrointestinal tube)
DRUG	RouteOfAdministration	110	Parenteral(Infusion)
DRUG	RouteOfAdministration	111	Parenteral(Simple suspension method from gastrostomy)
DRUG	RouteOfAdministration	112	Parenteral(nasogastric tube)
DRUG	RouteOfAdministration	113	Periarticular
DRUG	RouteOfAdministration	114	Perineural
DRUG	RouteOfAdministration	115	Rectal
DRUG	RouteOfAdministration	116	Rectal(Enteral infusion)
DRUG	RouteOfAdministration	117	Rectal(anal insertion)
DRUG	RouteOfAdministration	118	Retrobulbar
DRUG	RouteOfAdministration	119	Retrobulbar(under the tenon)
DRUG	RouteOfAdministration	120	Skin
DRUG	RouteOfAdministration	121	Skin(OIT)
DRUG	RouteOfAdministration	122	Subconjunctival
DRUG	RouteOfAdministration	123	Subcutaneous
DRUG	RouteOfAdministration	124	Subcutaneous injection
DRUG	RouteOfAdministration	125	Subcutaneous(Intravenous drip)
DRUG	RouteOfAdministration	126	Subcutaneous(epidural catheter)
DRUG	RouteOfAdministration	127	Subdermis
DRUG	RouteOfAdministration	128	Sublingual
DRUG	RouteOfAdministration	129	Teeth
DRUG	RouteOfAdministration	130	Through breastmilk
DRUG	RouteOfAdministration	131	Topical use
DRUG	RouteOfAdministration	132	Transdermal
DRUG	RouteOfAdministration	133	Transdermal(Paste)
DRUG	RouteOfAdministration	134	Transplacental
DRUG	RouteOfAdministration	135	Transplacental(Subcutaneous)
DRUG	RouteOfAdministration	136	Transtracheal
DRUG	RouteOfAdministration	137	Unknown
DRUG	RouteOfAdministration	138	Unkown
DRUG	RouteOfAdministration	139	Urethral
DRUG	RouteOfAdministration	140	Vaginal
DRUG	RouteOfAdministration	141	Venous nos
DRUG	RouteOfAdministration	142	Within the lesion
DRUG	DosageUnit	1	%
DRUG	DosageUnit	2	Ci
DRUG	DosageUnit	3	DF
