Table name	Column Name	Coded Value	Description
REAC	Outcome	1	Death	OK
REAC	Outcome	2	Light	OK
REAC	Outcome	3	Recovery	OK
REAC	Outcome	4	Unrecovered	OK
REAC	Outcome	5	With sequelae	OK
REAC	Outcome	6	Not clear	Better as Unknown
DRUG	Involvement	1	Concomitant medication	OK
DRUG	Involvement	2	Interaction	OK
DRUG	Involvement	3	Suspected drug	OK
DRUG	RouteOfAdministration	1	Auricle	OK
DRUG	RouteOfAdministration	2	Buccal side	Better as buccal
DRUG	RouteOfAdministration	3	Epidural	OK
DRUG	RouteOfAdministration	4	Epidural(Local/epidural)	Same as 3
DRUG	RouteOfAdministration	5	Epidural(epidural catheter)	Same as 3
DRUG	RouteOfAdministration	6	Eye	OK
DRUG	RouteOfAdministration	7	Eye(047)	Same as 6
DRUG	RouteOfAdministration	8	Eye(065)	Same as 6
DRUG	RouteOfAdministration	9	Eye(Canalicular anesthesia)	OK
DRUG	RouteOfAdministration	10	Eye(Eye)	Same as 6
DRUG	RouteOfAdministration	11	Eye(Infratrochlear nerve block)	OK
DRUG	RouteOfAdministration	12	Haemodialysis	OK
DRUG	RouteOfAdministration	13	Haemodialysis(Administered into the circuit during extracorporeal blood circulation)	Better as Haemodialysis(Administered into the circulation during extracorporeal blood circulation)
DRUG	RouteOfAdministration	14	Haemodialysis(Haemodialysis)	Same as 12
DRUG	RouteOfAdministration	15	Haemodialysis(dialysis circuit)	Same as 12
DRUG	RouteOfAdministration	16	Haemodialysis(in the dialysis circuit)	Same as 12
DRUG	RouteOfAdministration	17	Haemodialysis(injection line)	OK
DRUG	RouteOfAdministration	18	Hemodialysis	Same as 12
DRUG	RouteOfAdministration	19	In the cerebrum	Better as cerebral
DRUG	RouteOfAdministration	20	In the liver	Better as hepatic
DRUG	RouteOfAdministration	21	In the liver(hepatic artery)	Better as hepatic artery
DRUG	RouteOfAdministration	22	In the lymph gland	OK
DRUG	RouteOfAdministration	23	In the vitreous	Better as intravitreal	
DRUG	RouteOfAdministration	24	Inhalation	Better as inhalational
DRUG	RouteOfAdministration	25	Injection	OK
DRUG	RouteOfAdministration	26	Inside the cavity	OK
DRUG	RouteOfAdministration	27	Inside the cave	Same as 26
DRUG	RouteOfAdministration	28	Inside the corpus cavernosum	OK
DRUG	RouteOfAdministration	29	Inside the tank	Better as Intraventricular
DRUG	RouteOfAdministration	30	Internal medicine	OK
DRUG	RouteOfAdministration	31	Intra-amniotic	OK
DRUG	RouteOfAdministration	32	Intra-arterial	OK
DRUG	RouteOfAdministration	33	Intra-articular	OK
DRUG	RouteOfAdministration	34	Intra-articular(Intra-articular)	Same as 33
DRUG	RouteOfAdministration	35	Intracardiac	OK
DRUG	RouteOfAdministration	36	Intracervical	OK
DRUG	RouteOfAdministration	37	Intracorneal	OK
DRUG	RouteOfAdministration	38	Intracoronary	OK
DRUG	RouteOfAdministration	39	Intracoronary(Intracoronary)	Same as 38
DRUG	RouteOfAdministration	40	Intradermal	OK
DRUG	RouteOfAdministration	41	Intradermal(Intradermal)	Same as 40
DRUG	RouteOfAdministration	42	Intramedullary	OK
DRUG	RouteOfAdministration	43	Intramedullary(intramedullary)	Same as 42
DRUG	RouteOfAdministration	44	Intrameningeal	OK
DRUG	RouteOfAdministration	45	Intramuscular	OK
DRUG	RouteOfAdministration	46	Intramuscular(030)	Same as 45
DRUG	RouteOfAdministration	47	Intramuscular(Intramuscular)	Same as 45
DRUG	RouteOfAdministration	48	Intraocular	OK
DRUG	RouteOfAdministration	49	Intraocular(Eye drops)	OK
DRUG	RouteOfAdministration	50	Intraocular(In the vitreous)	Better as intravitreal
DRUG	RouteOfAdministration	51	Intraocular(Subtenon&#39	Better as Subtenon
DRUG	RouteOfAdministration	52	Intrapericardial	OK
DRUG	RouteOfAdministration	53	Intraperitoneal	OK
DRUG	RouteOfAdministration	54	Intrapleural	OK
DRUG	RouteOfAdministration	55	Intraspinal	OK
DRUG	RouteOfAdministration	56	Intraspinal(024)	Same as 55
DRUG	RouteOfAdministration	57	Intrasynovial	OK
DRUG	RouteOfAdministration	58	Intrathecal	OK
DRUG	RouteOfAdministration	59	Intrathoracic	OK
DRUG	RouteOfAdministration	60	Intrathoracic(noMatch)	Same as 59
DRUG	RouteOfAdministration	61	Intratracheal	OK
DRUG	RouteOfAdministration	62	Intratumoral	OK
DRUG	RouteOfAdministration	63	Intrauterine	OK
DRUG	RouteOfAdministration	64	Intravenous	OK
DRUG	RouteOfAdministration	65	Intravenous drip	OK
DRUG	RouteOfAdministration	66	Intravenous drip(041)	Same as 65
DRUG	RouteOfAdministration	67	Intravenous drip(042)	Same as 65
DRUG	RouteOfAdministration	68	Intravenous drip(058)	Same as 65
DRUG	RouteOfAdministration	69	Intravenous drip(2019/01/07)	Same as 65
DRUG	RouteOfAdministration	70	Intravenous drip(CV port)	Same as 65
DRUG	RouteOfAdministration	71	Intravenous drip(CV)	Same as 65
DRUG	RouteOfAdministration	72	Intravenous drip(Continuous IV)	Same as 65
DRUG	RouteOfAdministration	73	Intravenous drip(Dripping)	Same as 65
DRUG	RouteOfAdministration	74	Intravenous drip(Full throttle)	Same as 65
DRUG	RouteOfAdministration	75	Intravenous drip(IV, continuous infusion)	Same as 65
DRUG	RouteOfAdministration	76	Intravenous drip(Injection)	Better as Intravenous injection
DRUG	RouteOfAdministration	77	Intravenous drip(Intravenous administration)	Same as 65
DRUG	RouteOfAdministration	78	Intravenous drip(Intravenous drip)	Same as 65
DRUG	RouteOfAdministration	79	Intravenous drip(Intravenous injection)	Same as 65
DRUG	RouteOfAdministration	80	Intravenous drip(Intravenous(if not specified))	Same as 65
DRUG	RouteOfAdministration	81	Intravenous drip(Intravenous)	Same as 65
DRUG	RouteOfAdministration	82	Intravenous drip(Persistence)	Same as 65
DRUG	RouteOfAdministration	83	Intravenous drip(Side pipe)	Same as 65
DRUG	RouteOfAdministration	84	Intravenous drip(Subcutaneous)	OK
DRUG	RouteOfAdministration	85	Intravenous drip(central vein)	OK
DRUG	RouteOfAdministration	86	Intravenous drip(continuous drip)	Same as 65
DRUG	RouteOfAdministration	87	Intravenous drip(dialysis circuit)	OK
DRUG	RouteOfAdministration	88	Intravenous drip(intravenous drip)	Same as 65
DRUG	RouteOfAdministration	89	Intravenous drip(noMatch)	Same as 65
DRUG	RouteOfAdministration	90	Intravenous drip(peripheral)	OK
DRUG	RouteOfAdministration	91	Intravenous drip(vein)	Same as 65
DRUG	RouteOfAdministration	92	Intravenous drip(venous reservoir)	Same as 65
DRUG	RouteOfAdministration	93	Intravenous injection	OK
DRUG	RouteOfAdministration	94	Intravenous rapid	OK
DRUG	RouteOfAdministration	95	Intravenous rapid(Injection)	Same as 93
DRUG	RouteOfAdministration	96	Intravenous rapid(Intravenous rapid)	Same as 94
DRUG	RouteOfAdministration	97	Intravenous rapid(Intravenous)	Same as 94
DRUG	RouteOfAdministration	98	Intravenous(if not specified)	Same as 64
DRUG	RouteOfAdministration	99	Intravenous(if not specified)(042)	Same as 64
DRUG	RouteOfAdministration	100	Intravenous(if not specified)(065)	Same as 64
DRUG	RouteOfAdministration	101	Intravenous(if not specified)(CV port)	Same as 64
DRUG	RouteOfAdministration	102	Intravenous(if not specified)(Continuous IV)	Same as 65
DRUG	RouteOfAdministration	103	Intravenous(if not specified)(INJ)	Same as 93
DRUG	RouteOfAdministration	104	Intravenous(if not specified)(Injection)	Same as 93
DRUG	RouteOfAdministration	105	Intravenous(if not specified)(Intravenous(if not specified))	Same as 64
DRUG	RouteOfAdministration	106	Intravenous(if not specified)(Intravenous)	Same as 64
DRUG	RouteOfAdministration	107	Intravenous(if not specified)(Peripheral drip)	Same as 90
DRUG	RouteOfAdministration	108	Intravenous(if not specified)(Persistence)	Same as 64
DRUG	RouteOfAdministration	109	Intravenous(if not specified)(central vein)	Same as 85
DRUG	RouteOfAdministration	110	Intravenous(if not specified)(dialysis circuit infusion)	Same as 87
DRUG	RouteOfAdministration	111	Intravenous(if not specified)(peripheral intravenous injection)	Same as 93
DRUG	RouteOfAdministration	112	Intravenous(if not specified)(peripheral vein)	Same as 93
DRUG	RouteOfAdministration	113	Intravenous(if not specified)(peripheral, central venous)	Same as 64
DRUG	RouteOfAdministration	114	Intravenous(if not specified)(right coronary artery)	Better as Intravenous(Right coronary artery)
DRUG	RouteOfAdministration	115	Intravenously (if not specified)	Same as 64
DRUG	RouteOfAdministration	116	Intravesical OK
DRUG	RouteOfAdministration	117	Iontophoresis	OK
DRUG	RouteOfAdministration	118	Local	OK
DRUG	RouteOfAdministration	119	Local(061)	Same as 118
DRUG	RouteOfAdministration	120	Local(Injection)	OK
DRUG	RouteOfAdministration	121	Local(Local injection in the operative field)	OK
